Function name,ncalls,Tottime,Avg time Per Call (tottime/ncalls),Cumtime,file location
<method 'items' of 'dict' objects>,341,0.000173,0.000001,0.000173,~
<method 'append' of 'list' objects>,539,0.000247,0.000000,0.000247,~
<built-in method builtins.len>,74,0.000045,0.000001,0.000045,~
<built-in method builtins.max>,4223,0.001647,0.000000,0.001647,~
<built-in method builtins.min>,17087,0.005773,0.000000,0.005773,~
check_diagonals,341,0.002285,0.000007,0.003486,/home/rasul/workspace_uni/aice2002_assg2/connect_four.py
_wrapreduction_any_all,341,0.001078,0.000003,0.002772,/home/rasul/anaconda3/envs/assignment2/lib/python3.14/site-packages/numpy/_core/fromnumeric.py
__minimax,365,0.002215,0.000006,0.136723,/home/rasul/workspace_uni/aice2002_assg2/board_game_AI.py
evaluation_func,277,0.067205,0.000243,0.115831,/home/rasul/workspace_uni/aice2002_assg2/connect_four.py
check_horizontal,363,0.002032,0.000006,0.003392,/home/rasul/workspace_uni/aice2002_assg2/connect_four.py
remove,365,0.000416,0.000001,0.000416,/home/rasul/workspace_uni/aice2002_assg2/board.py
is_full,341,0.002308,0.000007,0.005926,/home/rasul/workspace_uni/aice2002_assg2/board.py
<method 'reduce' of 'numpy.ufunc' objects>,341,0.001522,0.000004,0.001522,~
set,365,0.000416,0.000001,0.000416,/home/rasul/workspace_uni/aice2002_assg2/board.py
all,341,0.000692,0.000002,0.003464,/home/rasul/anaconda3/envs/assignment2/lib/python3.14/site-packages/numpy/_core/fromnumeric.py
_all_dispatcher,341,0.000154,0.000000,0.000154,/home/rasul/anaconda3/envs/assignment2/lib/python3.14/site-packages/numpy/_core/fromnumeric.py
get,64229,0.045139,0.000001,0.045139,/home/rasul/workspace_uni/aice2002_assg2/board.py
is_endgame,365,0.001695,0.000005,0.015233,/home/rasul/workspace_uni/aice2002_assg2/connect_four.py
<method 'disable' of '_lsprof.Profiler' objects>,10,0.000320,0.000032,0.000320,~
gravity,518,0.001207,0.000002,0.002075,/home/rasul/workspace_uni/aice2002_assg2/connect_four.py
check_south,365,0.000431,0.000001,0.000734,/home/rasul/workspace_uni/aice2002_assg2/connect_four.py
generate_legal_moves,74,0.000801,0.000011,0.003083,/home/rasul/workspace_uni/aice2002_assg2/connect_four.py
